kingdom,code,name,year,main_common_name
PLANTAE,VU,Acacia octonervia,2013,
PLANTAE,VU,Acacia octonervia,2014,
PLANTAE,VU,Acacia octonervia,2015,
PLANTAE,VU,Acacia octonervia,2016,
PLANTAE,VU,Acacia octonervia,2017,
PLANTAE,EN,Acacia phasmoides,2017,Phantom Wattle
PLANTAE,EN,Acacia pygmaea,2017,Dwarf Rock Wattle
PLANTAE,EN,Acacia repanda,2012,
PLANTAE,EN,Acacia repanda,2013,
PLANTAE,EN,Acacia repanda,2014,
PLANTAE,EN,Acacia repanda,2015,
PLANTAE,EN,Acacia repanda,2016,
PLANTAE,EN,Acacia repanda,2017,
ANIMALIA,VU,Acanthaeschna victoria,1988,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,1989,Thylacine Darner
ANIMALIA,K,Acanthaeschna victoria,1990,Thylacine Darner
ANIMALIA,K,Acanthaeschna victoria,1991,Thylacine Darner
ANIMALIA,K,Acanthaeschna victoria,1992,Thylacine Darner
ANIMALIA,K,Acanthaeschna victoria,1993,Thylacine Darner
ANIMALIA,K,Acanthaeschna victoria,1994,Thylacine Darner
ANIMALIA,K,Acanthaeschna victoria,1995,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,1996,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,1997,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,1998,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,1999,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2000,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2001,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2002,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2003,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2004,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2005,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2006,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2007,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2008,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2009,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2010,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2011,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2012,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2013,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2014,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2015,Thylacine Darner
ANIMALIA,VU,Acanthaeschna victoria,2016,Thylacine Darner
ANIMALIA,EN,Acanthaeschna victoria,2017,Thylacine Darner
ANIMALIA,VU,Acanthastrea bowerbanki,2008,
ANIMALIA,VU,Acanthastrea bowerbanki,2009,
ANIMALIA,VU,Acanthastrea bowerbanki,2010,
ANIMALIA,VU,Acanthastrea bowerbanki,2011,
ANIMALIA,VU,Acanthastrea bowerbanki,2012,
ANIMALIA,VU,Acanthastrea bowerbanki,2013,
ANIMALIA,VU,Acanthastrea bowerbanki,2014,
ANIMALIA,VU,Acanthastrea bowerbanki,2015,
ANIMALIA,VU,Acanthastrea bowerbanki,2016,
ANIMALIA,VU,Acanthastrea bowerbanki,2017,
ANIMALIA,VU,Acanthastrea brevis,2008,
ANIMALIA,VU,Acanthastrea brevis,2009,
ANIMALIA,VU,Acanthastrea brevis,2010,
ANIMALIA,VU,Acanthastrea brevis,2011,
ANIMALIA,VU,Acanthastrea brevis,2012,
ANIMALIA,VU,Acanthastrea brevis,2013,
ANIMALIA,VU,Acanthastrea brevis,2014,
ANIMALIA,VU,Acanthastrea brevis,2015,
ANIMALIA,VU,Acanthastrea brevis,2016,
ANIMALIA,VU,Acanthastrea brevis,2017,
ANIMALIA,VU,Acanthastrea faviaformis,2008,
ANIMALIA,VU,Acanthastrea faviaformis,2009,
ANIMALIA,VU,Acanthastrea faviaformis,2010,
ANIMALIA,VU,Acanthastrea faviaformis,2011,
ANIMALIA,VU,Acanthastrea faviaformis,2012,
ANIMALIA,VU,Acanthastrea faviaformis,2013,
ANIMALIA,VU,Acanthastrea faviaformis,2014,
ANIMALIA,VU,Acanthastrea faviaformis,2015,
ANIMALIA,VU,Acanthastrea faviaformis,2016,
ANIMALIA,VU,Acanthastrea faviaformis,2017,
ANIMALIA,VU,Acanthastrea hemprichii,2008,
ANIMALIA,VU,Acanthastrea hemprichii,2009,
ANIMALIA,VU,Acanthastrea hemprichii,2010,
ANIMALIA,VU,Acanthastrea hemprichii,2011,
ANIMALIA,VU,Acanthastrea hemprichii,2012,
ANIMALIA,VU,Acanthastrea hemprichii,2013,
ANIMALIA,VU,Acanthastrea hemprichii,2014,
ANIMALIA,VU,Acanthastrea hemprichii,2015,
ANIMALIA,VU,Acanthastrea hemprichii,2016,
ANIMALIA,VU,Acanthastrea hemprichii,2017,
ANIMALIA,VU,Acanthastrea ishigakiensis,2008,
ANIMALIA,VU,Acanthastrea ishigakiensis,2009,
ANIMALIA,VU,Acanthastrea ishigakiensis,2010,
ANIMALIA,VU,Acanthastrea ishigakiensis,2011,
ANIMALIA,VU,Acanthastrea ishigakiensis,2012,
ANIMALIA,VU,Acanthastrea ishigakiensis,2013,
ANIMALIA,VU,Acanthastrea ishigakiensis,2014,
ANIMALIA,VU,Acanthastrea ishigakiensis,2015,
ANIMALIA,VU,Acanthastrea ishigakiensis,2016,
ANIMALIA,VU,Acanthastrea ishigakiensis,2017,
ANIMALIA,VU,Acanthastrea regularis,2008,
ANIMALIA,VU,Acanthastrea regularis,2009,
ANIMALIA,VU,Acanthastrea regularis,2010,
ANIMALIA,VU,Acanthastrea regularis,2011,
ANIMALIA,VU,Acanthastrea regularis,2012,
ANIMALIA,VU,Acanthastrea regularis,2013,
ANIMALIA,VU,Acanthastrea regularis,2014,
ANIMALIA,VU,Acanthastrea regularis,2015,
ANIMALIA,VU,Acanthastrea regularis,2016,
ANIMALIA,VU,Acanthastrea regularis,2017,
ANIMALIA,LC,Acanthiza iredalei,1988,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,1989,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,1990,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,1991,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,1992,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,1993,Slender-billed Thornbill
ANIMALIA,VU,Acanthiza iredalei,1994,Slender-billed Thornbill
ANIMALIA,VU,Acanthiza iredalei,1995,Slender-billed Thornbill
ANIMALIA,VU,Acanthiza iredalei,1996,Slender-billed Thornbill
ANIMALIA,VU,Acanthiza iredalei,1997,Slender-billed Thornbill
ANIMALIA,VU,Acanthiza iredalei,1998,Slender-billed Thornbill
ANIMALIA,VU,Acanthiza iredalei,1999,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2000,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2001,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2002,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2003,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2004,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2005,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2006,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2007,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2008,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2009,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2010,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2011,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2012,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2013,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2014,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2015,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2016,Slender-billed Thornbill
ANIMALIA,LC,Acanthiza iredalei,2017,Slender-billed Thornbill
ANIMALIA,VU,Acanthophis cryptamydros,2017,Kimberley Death Adder
ANIMALIA,VU,Achoerodus gouldii,2010,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2011,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2012,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2013,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2014,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2015,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2016,Western Blue Groper
ANIMALIA,VU,Achoerodus gouldii,2017,Western Blue Groper
ANIMALIA,EN,Acizzia mccarthyi,2015,McCarthy‰Ûªs Plant-louse
ANIMALIA,EN,Acizzia mccarthyi,2016,McCarthy‰Ûªs Plant-louse
ANIMALIA,EN,Acizzia mccarthyi,2017,McCarthy‰Ûªs Plant-louse
ANIMALIA,CR,Acizzia veski,2013,Vesk‰Ûªs Plant-louse
ANIMALIA,CR,Acizzia veski,2014,Vesk‰Ûªs Plant-louse
ANIMALIA,CR,Acizzia veski,2015,Vesk‰Ûªs Plant-louse
ANIMALIA,CR,Acizzia veski,2016,Vesk‰Ûªs Plant-louse
ANIMALIA,CR,Acizzia veski,2017,Vesk‰Ûªs Plant-louse
ANIMALIA,R,Acrodipsas illidgei,1994,Illidge's Ant-blue
ANIMALIA,R,Acrodipsas illidgei,1995,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,1996,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,1997,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,1998,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,1999,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2000,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2001,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2002,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2003,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2004,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2005,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2006,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2007,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2008,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2009,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2010,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2011,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2012,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2013,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2014,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2015,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2016,Illidge's Ant-blue
ANIMALIA,EN,Acrodipsas illidgei,2017,Illidge's Ant-blue
ANIMALIA,VU,Acropora abrolhosensis,2008,
ANIMALIA,VU,Acropora abrolhosensis,2009,
ANIMALIA,VU,Acropora abrolhosensis,2010,
ANIMALIA,VU,Acropora abrolhosensis,2011,
ANIMALIA,VU,Acropora abrolhosensis,2012,
ANIMALIA,VU,Acropora abrolhosensis,2013,
ANIMALIA,VU,Acropora abrolhosensis,2014,
ANIMALIA,VU,Acropora abrolhosensis,2015,
ANIMALIA,VU,Acropora abrolhosensis,2016,
ANIMALIA,VU,Acropora abrolhosensis,2017,
ANIMALIA,VU,Acropora aculeus,2008,
ANIMALIA,VU,Acropora aculeus,2009,
ANIMALIA,VU,Acropora aculeus,2010,
ANIMALIA,VU,Acropora aculeus,2011,
ANIMALIA,VU,Acropora aculeus,2012,
ANIMALIA,VU,Acropora aculeus,2013,
ANIMALIA,VU,Acropora aculeus,2014,
ANIMALIA,VU,Acropora aculeus,2015,
ANIMALIA,VU,Acropora aculeus,2016,
ANIMALIA,VU,Acropora aculeus,2017,
ANIMALIA,VU,Acropora acuminata,2008,
ANIMALIA,VU,Acropora acuminata,2009,
ANIMALIA,VU,Acropora acuminata,2010,
ANIMALIA,VU,Acropora acuminata,2011,
ANIMALIA,VU,Acropora acuminata,2012,
ANIMALIA,VU,Acropora acuminata,2013,
ANIMALIA,VU,Acropora acuminata,2014,
ANIMALIA,VU,Acropora acuminata,2015,
ANIMALIA,VU,Acropora acuminata,2016,
ANIMALIA,VU,Acropora acuminata,2017,
ANIMALIA,VU,Acropora anthocercis,2008,
ANIMALIA,VU,Acropora anthocercis,2009,
ANIMALIA,VU,Acropora anthocercis,2010,
ANIMALIA,VU,Acropora anthocercis,2011,
ANIMALIA,VU,Acropora anthocercis,2012,
ANIMALIA,VU,Acropora anthocercis,2013,
ANIMALIA,VU,Acropora anthocercis,2014,
ANIMALIA,VU,Acropora anthocercis,2015,
ANIMALIA,VU,Acropora anthocercis,2016,
ANIMALIA,VU,Acropora anthocercis,2017,
ANIMALIA,VU,Acropora aspera,2008,
ANIMALIA,VU,Acropora aspera,2009,
ANIMALIA,VU,Acropora aspera,2010,
ANIMALIA,VU,Acropora aspera,2011,
ANIMALIA,VU,Acropora aspera,2012,
ANIMALIA,VU,Acropora aspera,2013,
ANIMALIA,VU,Acropora aspera,2014,
ANIMALIA,VU,Acropora aspera,2015,
ANIMALIA,VU,Acropora aspera,2016,
ANIMALIA,VU,Acropora aspera,2017,
ANIMALIA,VU,Acropora awi,2008,
ANIMALIA,VU,Acropora awi,2009,
ANIMALIA,VU,Acropora awi,2010,
ANIMALIA,VU,Acropora awi,2011,
ANIMALIA,VU,Acropora awi,2012,
ANIMALIA,VU,Acropora awi,2013,
ANIMALIA,VU,Acropora awi,2014,
ANIMALIA,VU,Acropora awi,2015,
ANIMALIA,VU,Acropora awi,2016,
ANIMALIA,VU,Acropora awi,2017,
ANIMALIA,VU,Acropora batunai,2008,
ANIMALIA,VU,Acropora batunai,2009,
ANIMALIA,VU,Acropora batunai,2010,
ANIMALIA,VU,Acropora batunai,2011,
ANIMALIA,VU,Acropora batunai,2012,
ANIMALIA,VU,Acropora batunai,2013,
ANIMALIA,VU,Acropora batunai,2014,
ANIMALIA,VU,Acropora batunai,2015,
ANIMALIA,VU,Acropora batunai,2016,
ANIMALIA,VU,Acropora batunai,2017,
ANIMALIA,VU,Acropora caroliniana,2008,
ANIMALIA,VU,Acropora caroliniana,2009,
ANIMALIA,VU,Acropora caroliniana,2010,
ANIMALIA,VU,Acropora caroliniana,2011,
ANIMALIA,VU,Acropora caroliniana,2012,
ANIMALIA,VU,Acropora caroliniana,2013,
ANIMALIA,VU,Acropora caroliniana,2014,
ANIMALIA,VU,Acropora caroliniana,2015,
ANIMALIA,VU,Acropora caroliniana,2016,
ANIMALIA,VU,Acropora caroliniana,2017,
ANIMALIA,VU,Acropora dendrum,2008,
ANIMALIA,VU,Acropora dendrum,2009,
ANIMALIA,VU,Acropora dendrum,2010,
ANIMALIA,VU,Acropora dendrum,2011,
ANIMALIA,VU,Acropora dendrum,2012,
ANIMALIA,VU,Acropora dendrum,2013,
ANIMALIA,VU,Acropora dendrum,2014,
ANIMALIA,VU,Acropora dendrum,2015,
ANIMALIA,VU,Acropora dendrum,2016,
ANIMALIA,VU,Acropora dendrum,2017,
ANIMALIA,VU,Acropora derawanensis,2008,
ANIMALIA,VU,Acropora derawanensis,2009,
ANIMALIA,VU,Acropora derawanensis,2010,
ANIMALIA,VU,Acropora derawanensis,2011,
ANIMALIA,VU,Acropora derawanensis,2012,
ANIMALIA,VU,Acropora derawanensis,2013,
ANIMALIA,VU,Acropora derawanensis,2014,
ANIMALIA,VU,Acropora derawanensis,2015,
ANIMALIA,VU,Acropora derawanensis,2016,
ANIMALIA,VU,Acropora derawanensis,2017,
ANIMALIA,VU,Acropora desalwii,2008,
ANIMALIA,VU,Acropora desalwii,2009,
ANIMALIA,VU,Acropora desalwii,2010,
ANIMALIA,VU,Acropora desalwii,2011,
ANIMALIA,VU,Acropora desalwii,2012,
ANIMALIA,VU,Acropora desalwii,2013,
ANIMALIA,VU,Acropora desalwii,2014,
ANIMALIA,VU,Acropora desalwii,2015,
ANIMALIA,VU,Acropora desalwii,2016,
ANIMALIA,VU,Acropora desalwii,2017,
ANIMALIA,VU,Acropora donei,2008,
ANIMALIA,VU,Acropora donei,2009,
ANIMALIA,VU,Acropora donei,2010,
ANIMALIA,VU,Acropora donei,2011,
ANIMALIA,VU,Acropora donei,2012,
ANIMALIA,VU,Acropora donei,2013,
ANIMALIA,VU,Acropora donei,2014,
ANIMALIA,VU,Acropora donei,2015,
ANIMALIA,VU,Acropora donei,2016,
ANIMALIA,VU,Acropora donei,2017,
ANIMALIA,VU,Acropora echinata,2008,
ANIMALIA,VU,Acropora echinata,2009,
ANIMALIA,VU,Acropora echinata,2010,
ANIMALIA,VU,Acropora echinata,2011,
ANIMALIA,VU,Acropora echinata,2012,
ANIMALIA,VU,Acropora echinata,2013,
ANIMALIA,VU,Acropora echinata,2014,
ANIMALIA,VU,Acropora echinata,2015,
ANIMALIA,VU,Acropora echinata,2016,
ANIMALIA,VU,Acropora echinata,2017,
ANIMALIA,VU,Acropora elegans,2008,
ANIMALIA,VU,Acropora elegans,2009,
ANIMALIA,VU,Acropora elegans,2010,
ANIMALIA,VU,Acropora elegans,2011,
ANIMALIA,VU,Acropora elegans,2012,
ANIMALIA,VU,Acropora elegans,2013,
ANIMALIA,VU,Acropora elegans,2014,
ANIMALIA,VU,Acropora elegans,2015,
ANIMALIA,VU,Acropora elegans,2016,
ANIMALIA,VU,Acropora elegans,2017,
ANIMALIA,VU,Acropora globiceps,2008,
ANIMALIA,VU,Acropora globiceps,2009,
ANIMALIA,VU,Acropora globiceps,2010,
ANIMALIA,VU,Acropora globiceps,2011,
ANIMALIA,VU,Acropora globiceps,2012,
ANIMALIA,VU,Acropora globiceps,2013,
ANIMALIA,VU,Acropora globiceps,2014,
ANIMALIA,VU,Acropora globiceps,2015,
ANIMALIA,VU,Acropora globiceps,2016,
ANIMALIA,VU,Acropora globiceps,2017,
ANIMALIA,VU,Acropora hoeksemai,2008,
ANIMALIA,VU,Acropora hoeksemai,2009,
ANIMALIA,VU,Acropora hoeksemai,2010,
ANIMALIA,VU,Acropora hoeksemai,2011,
ANIMALIA,VU,Acropora hoeksemai,2012,
ANIMALIA,VU,Acropora hoeksemai,2013,
ANIMALIA,VU,Acropora hoeksemai,2014,
ANIMALIA,VU,Acropora hoeksemai,2015,
ANIMALIA,VU,Acropora hoeksemai,2016,
ANIMALIA,VU,Acropora hoeksemai,2017,
ANIMALIA,VU,Acropora horrida,2008,
ANIMALIA,VU,Acropora horrida,2009,
ANIMALIA,VU,Acropora horrida,2010,
ANIMALIA,VU,Acropora horrida,2011,
ANIMALIA,VU,Acropora horrida,2012,
ANIMALIA,VU,Acropora horrida,2013,
ANIMALIA,VU,Acropora horrida,2014,
ANIMALIA,VU,Acropora horrida,2015,
ANIMALIA,VU,Acropora horrida,2016,
ANIMALIA,VU,Acropora horrida,2017,
ANIMALIA,VU,Acropora indonesia,2008,
ANIMALIA,VU,Acropora indonesia,2009,
ANIMALIA,VU,Acropora indonesia,2010,
ANIMALIA,VU,Acropora indonesia,2011,
ANIMALIA,VU,Acropora indonesia,2012,
ANIMALIA,VU,Acropora indonesia,2013,
ANIMALIA,VU,Acropora indonesia,2014,
ANIMALIA,VU,Acropora indonesia,2015,
ANIMALIA,VU,Acropora indonesia,2016,
ANIMALIA,VU,Acropora indonesia,2017,
ANIMALIA,VU,Acropora jacquelineae,2008,
ANIMALIA,VU,Acropora jacquelineae,2009,
ANIMALIA,VU,Acropora jacquelineae,2010,
ANIMALIA,VU,Acropora jacquelineae,2011,
ANIMALIA,VU,Acropora jacquelineae,2012,
ANIMALIA,VU,Acropora jacquelineae,2013,
ANIMALIA,VU,Acropora jacquelineae,2014,
ANIMALIA,VU,Acropora jacquelineae,2015,
ANIMALIA,VU,Acropora jacquelineae,2016,
ANIMALIA,VU,Acropora jacquelineae,2017,
ANIMALIA,VU,Acropora kimbeensis,2008,
ANIMALIA,VU,Acropora kimbeensis,2009,
ANIMALIA,VU,Acropora kimbeensis,2010,
ANIMALIA,VU,Acropora kimbeensis,2011,
ANIMALIA,VU,Acropora kimbeensis,2012,
ANIMALIA,VU,Acropora kimbeensis,2013,
ANIMALIA,VU,Acropora kimbeensis,2014,
ANIMALIA,VU,Acropora kimbeensis,2015,
ANIMALIA,VU,Acropora kimbeensis,2016,
ANIMALIA,VU,Acropora kimbeensis,2017,
ANIMALIA,VU,Acropora kirstyae,2008,
ANIMALIA,VU,Acropora kirstyae,2009,
ANIMALIA,VU,Acropora kirstyae,2010,
ANIMALIA,VU,Acropora kirstyae,2011,
ANIMALIA,VU,Acropora kirstyae,2012,
ANIMALIA,VU,Acropora kirstyae,2013,
ANIMALIA,VU,Acropora kirstyae,2014,
ANIMALIA,VU,Acropora kirstyae,2015,
ANIMALIA,VU,Acropora kirstyae,2016,
ANIMALIA,VU,Acropora kirstyae,2017,
ANIMALIA,VU,Acropora kosurini,2008,
ANIMALIA,VU,Acropora kosurini,2009,
ANIMALIA,VU,Acropora kosurini,2010,
ANIMALIA,VU,Acropora kosurini,2011,
ANIMALIA,VU,Acropora kosurini,2012,
ANIMALIA,VU,Acropora kosurini,2013,
ANIMALIA,VU,Acropora kosurini,2014,
ANIMALIA,VU,Acropora kosurini,2015,
ANIMALIA,VU,Acropora kosurini,2016,
ANIMALIA,VU,Acropora kosurini,2017,
ANIMALIA,VU,Acropora listeri,2008,
ANIMALIA,VU,Acropora listeri,2009,
ANIMALIA,VU,Acropora listeri,2010,
ANIMALIA,VU,Acropora listeri,2011,
ANIMALIA,VU,Acropora listeri,2012,
ANIMALIA,VU,Acropora listeri,2013,
ANIMALIA,VU,Acropora listeri,2014,
ANIMALIA,VU,Acropora listeri,2015,
ANIMALIA,VU,Acropora listeri,2016,
ANIMALIA,VU,Acropora listeri,2017,
ANIMALIA,VU,Acropora loisetteae,2008,
ANIMALIA,VU,Acropora loisetteae,2009,
ANIMALIA,VU,Acropora loisetteae,2010,
ANIMALIA,VU,Acropora loisetteae,2011,
ANIMALIA,VU,Acropora loisetteae,2012,
ANIMALIA,VU,Acropora loisetteae,2013,
ANIMALIA,VU,Acropora loisetteae,2014,
ANIMALIA,VU,Acropora loisetteae,2015,
ANIMALIA,VU,Acropora loisetteae,2016,
ANIMALIA,VU,Acropora loisetteae,2017,
ANIMALIA,VU,Acropora lokani,2008,
ANIMALIA,VU,Acropora lokani,2009,
ANIMALIA,VU,Acropora lokani,2010,
ANIMALIA,VU,Acropora lokani,2011,
ANIMALIA,VU,Acropora lokani,2012,
ANIMALIA,VU,Acropora lokani,2013,
ANIMALIA,VU,Acropora lokani,2014,
ANIMALIA,VU,Acropora lokani,2015,
ANIMALIA,VU,Acropora lokani,2016,
ANIMALIA,VU,Acropora lokani,2017,
ANIMALIA,VU,Acropora lovelli,2008,
ANIMALIA,VU,Acropora lovelli,2009,
ANIMALIA,VU,Acropora lovelli,2010,
ANIMALIA,VU,Acropora lovelli,2011,
ANIMALIA,VU,Acropora lovelli,2012,
ANIMALIA,VU,Acropora lovelli,2013,
ANIMALIA,VU,Acropora lovelli,2014,
ANIMALIA,VU,Acropora lovelli,2015,
ANIMALIA,VU,Acropora lovelli,2016,
ANIMALIA,VU,Acropora lovelli,2017,
ANIMALIA,VU,Acropora microclados,2008,
ANIMALIA,VU,Acropora microclados,2009,
ANIMALIA,VU,Acropora microclados,2010,
ANIMALIA,VU,Acropora microclados,2011,
ANIMALIA,VU,Acropora microclados,2012,
ANIMALIA,VU,Acropora microclados,2013,
ANIMALIA,VU,Acropora microclados,2014,
ANIMALIA,VU,Acropora microclados,2015,
ANIMALIA,VU,Acropora microclados,2016,
ANIMALIA,VU,Acropora microclados,2017,
ANIMALIA,VU,Acropora multiacuta,2008,
ANIMALIA,VU,Acropora multiacuta,2009,
ANIMALIA,VU,Acropora multiacuta,2010,
ANIMALIA,VU,Acropora multiacuta,2011,
ANIMALIA,VU,Acropora multiacuta,2012,
ANIMALIA,VU,Acropora multiacuta,2013,
ANIMALIA,VU,Acropora multiacuta,2014,
ANIMALIA,VU,Acropora multiacuta,2015,
ANIMALIA,VU,Acropora multiacuta,2016,
ANIMALIA,VU,Acropora multiacuta,2017,
ANIMALIA,VU,Acropora palmerae,2008,
ANIMALIA,VU,Acropora palmerae,2009,
ANIMALIA,VU,Acropora palmerae,2010,
ANIMALIA,VU,Acropora palmerae,2011,
ANIMALIA,VU,Acropora palmerae,2012,
ANIMALIA,VU,Acropora palmerae,2013,
ANIMALIA,VU,Acropora palmerae,2014,
ANIMALIA,VU,Acropora palmerae,2015,
ANIMALIA,VU,Acropora palmerae,2016,
ANIMALIA,VU,Acropora palmerae,2017,
ANIMALIA,VU,Acropora paniculata,2008,
ANIMALIA,VU,Acropora paniculata,2009,
ANIMALIA,VU,Acropora paniculata,2010,
ANIMALIA,VU,Acropora paniculata,2011,
